"","iso2c","País","Año","PBIperCapita","Inflación"
"94","CO","Colombia",1989,1.39099344692046,25.8613861386139
"95","CO","Colombia",1990,2.2498479790859,29.137822529893
"96","CO","Colombia",1991,0.02021585864793,30.348440545809
"97","CO","Colombia",1992,2.03721159607002,27.0305636040751
"98","CO","Colombia",1993,3.37717138946188,22.4413214627327
"99","CO","Colombia",1994,3.83884803971159,22.8471846643832
"100","CO","Colombia",1995,3.28893799901337,20.8971286014773
"101","CO","Colombia",1996,0.253052837549902,20.7970867893992
"102","CO","Colombia",1997,1.6552227234201,18.4625690839056
"103","CO","Colombia",1998,-1.10925963660314,18.6812565385812
"104","CO","Colombia",1999,-5.76418712793618,10.8733978176967
"105","CO","Colombia",2000,1.28736782423051,9.22257080235504
"106","CO","Colombia",2001,0.0967794978634231,7.96970293133976
"107","CO","Colombia",2002,0.950680913691301,6.35192507425155
"108","CO","Colombia",2003,2.39393965906274,7.1307416862268
"109","CO","Colombia",2004,3.85080534763809,5.90126181451809
"110","CO","Colombia",2005,3.42332222613126,5.05142028722872
"111","CO","Colombia",2006,5.35040251622438,4.29245011787705
"112","CO","Colombia",2007,5.42863484691856,5.54514128187459
"113","CO","Colombia",2008,2.07578409424285,6.99855040288351
"114","CO","Colombia",2009,0.0207132464149282,4.2010447688327
"115","CO","Colombia",2010,3.40253313166517,2.27118326422564
"116","CO","Colombia",2011,5.91724426422576,3.41758959146978
"117","CO","Colombia",2012,2.98127287338662,3.16732560328694
"118","CO","Colombia",2013,4.18482189717086,2.01809847891195
"119","CO","Colombia",2014,3.44839523191438,2.89781874427855
"120","CO","Colombia",2015,1.75788371739232,4.99023427513779
"121","CO","Colombia",2016,0.70068863785022,7.51429322788323
"122","CO","Colombia",2017,-0.163409332080448,4.3121410323773
"123","CO","Colombia",2018,1.01285604228866,3.24023413752975
"124","CO","Colombia",2019,1.79628336588122,3.52549273618952
"125","CO","Colombia",2020,-8.04089850692667,2.52462053498877
"126","CO","Colombia",2021,9.73738238037541,3.49514563106798
"127","PE","Perú",1980,3.32174739229838,59.1450712444913
"128","PE","Perú",1981,2.98277945111896,75.4332687576064
"129","PE","Perú",1982,-2.61081478592267,64.4481585387929
"130","PE","Perú",1983,-12.5187171077346,111.150635209158
"131","PE","Perú",1984,1.20167894352035,110.208519562543
"132","PE","Perú",1985,-0.277751875659433,163.399505243687
"133","PE","Perú",1986,6.95127343398055,77.9210255473595
"134","PE","Perú",1987,7.28198789275127,85.8223062381847
"135","PE","Perú",1988,-11.4198696950976,667.019328585961
"136","PE","Perú",1989,-14.1812095827164,3398.67901005332
"137","PE","Perú",1990,-6.95098002526341,7481.66361124526
"138","PE","Perú",1991,0.172594018887324,409.530166622023
"139","PE","Perú",1992,-2.46518449622796,73.5282942442641
"140","PE","Perú",1993,3.25942240934165,48.5799864468884
"141","PE","Perú",1994,10.2211545728344,23.7369050565046
"142","PE","Perú",1995,5.43211540779369,11.1287029707088
"143","PE","Perú",1996,0.910849821276599,11.5379424115177
"144","PE","Perú",1997,4.54615738181367,8.56218948953654
"145","PE","Perú",1998,-2.12729704471192,7.24782175213469
"146","PE","Perú",1999,-0.140575834267338,3.46965996293021
"147","PE","Perú",2000,1.21314361657035,3.75733833344474
"148","PE","Perú",2001,-0.656177992854637,1.97709878502052
"149","PE","Perú",2002,4.2796705712887,0.193135003853723
"150","PE","Perú",2003,3.13276933636102,2.25937753363075
"151","PE","Perú",2004,4.00069540728281,3.66247320092231
"152","PE","Perú",2005,5.36236905592543,1.61630193862544
"153","PE","Perú",2006,6.62620063933494,2.00225801248821
"154","PE","Perú",2007,7.63365404001507,1.77998644680372
"155","PE","Perú",2008,8.25060456444702,5.78587598206754
"156","PE","Perú",2009,0.287054626197119,2.93623153596699
"157","PE","Perú",2010,7.45536629325547,1.52832059732903
"158","PE","Perú",2011,5.46742070674885,3.36931095333853
"159","PE","Perú",2012,5.26750729775631,3.61121294940175
"160","PE","Perú",2013,4.90258260411305,2.76789666081994
"161","PE","Perú",2014,1.30565751190883,3.4119457980747
"162","PE","Perú",2015,1.96334440822348,3.39809194746299
"163","PE","Perú",2016,2.42290485450216,3.55717663556281
"164","PE","Perú",2017,0.829126308957157,2.99490045809446
"165","PE","Perú",2018,2.19813960758187,1.50915423024742
"166","PE","Perú",2019,0.601543694395318,2.25212191358024
"167","PE","Perú",2020,-12.198762011764,2.00241205759293
"168","PE","Perú",2021,12.0326134452937,4.27166381536796
