"","MES","CONGLOME","VIVIENDA","HOGAR","CODPERSO","UBIGEO","DOMINIO","ESTRATO","CODINFOR","P300A","P301A","P207","P507","P513T","P524A1","P401H1","P401H2","P401H3","P401H4","P401H5","P401H6"
"2877","1879588111170101731",18795,88,11,1,170101,7,3,1,4,10,2,3,48,4000,2,2,2,2,2,2
"2878","1879588112170101732",18795,88,11,2,170101,7,3,2,4,8,1,3,43,2300,2,2,2,2,2,2
"2879","18795104111170101731",18795,104,11,1,170101,7,3,1,4,10,1,3,44,2800,2,2,2,2,2,2
"2880","18795119112170101732",18795,119,11,2,170101,7,3,2,4,6,1,3,60,1700,2,2,2,2,2,2
"2881","188183112170101732",18818,3,11,2,170101,7,3,2,4,8,2,3,0,1500,2,2,2,2,2,2
"2882","188183113170101733",18818,3,11,3,170101,7,3,3,4,10,2,3,44,2400,2,2,2,2,2,2
"2883","188183114170101734",18818,3,11,4,170101,7,3,4,4,9,2,3,24,425,2,2,2,2,2,2
"2884","1881843112170101732",18818,43,11,2,170101,7,3,2,4,9,1,4,70,300,2,2,2,2,2,2
"2885","18818159111170101731",18818,159,11,1,170101,7,3,1,4,10,1,4,66,1500,1,1,2,2,2,2
"2886","1885284111170204751",18852,84,11,1,170204,7,5,1,1,6,1,4,54,1800,2,2,2,2,2,2
"2887","18852128112170204752",18852,128,11,2,170204,7,5,2,4,9,1,4,48,300,2,2,2,2,2,2
"2888","18852150112170204752",18852,150,11,2,170204,7,5,2,4,6,1,4,56,1000,2,2,2,2,2,2
"2889","1887962111170302781",18879,62,11,1,170302,7,8,1,4,3,1,4,0,1250,2,2,2,2,2,2
"2890","1887963112170302782",18879,63,11,2,170302,7,8,2,4,8,2,3,48,3600,2,2,2,2,2,2
"2891","188853113180101333",18885,3,11,3,180101,3,3,3,4,9,2,3,25,750,2,2,2,2,2,2
"2892","1888549111180101331",18885,49,11,1,180101,3,3,1,2,4,2,4,48,1010,2,2,2,2,2,2
"2893","1888580113180101333",18885,80,11,3,180101,3,3,3,4,10,2,3,46,4000,2,2,2,2,2,2
"2894","1888596111180101331",18885,96,11,1,180101,3,3,1,4,7,1,4,48,1800,2,2,2,2,2,2
"2895","1888596112180101332",18885,96,11,2,180101,3,3,2,4,9,2,3,48,500,2,2,2,2,2,2
"2896","1893710111180101332",18937,10,11,1,180101,3,3,2,4,6,1,4,77,2300,2,2,2,2,2,2
"2897","1893723112180101332",18937,23,11,2,180101,3,3,2,4,10,2,3,30,1200,2,2,2,2,2,2
