MES,CONGLOME,VIVIENDA,HOGAR,CODPERSO,UBIGEO,DOMINIO,ESTRATO,CODINFOR,P300A,P301A,P207
5.13811E+17,5138,111,11,5,10513,4,7,1,4,3,2
5.13812E+17,5138,118,11,1,10513,4,7,1,4,9,1
5.13812E+17,5138,118,11,2,10513,4,7,1,4,6,2
5.13812E+17,5138,118,11,3,10513,4,7,1,4,3,2
5.13812E+17,5138,119,11,1,10513,4,7,1,4,3,1
5.13812E+17,5138,119,11,2,10513,4,7,2,4,3,2
5.13812E+17,5138,119,11,3,10513,4,7,2,4,3,2
5.13812E+17,5138,119,11,4,10513,4,7,4,4,6,1
5.13812E+17,5138,120,11,1,10513,4,7,1,4,3,1
5.13812E+17,5138,120,11,2,10513,4,7,2,4,3,2
5.13812E+17,5138,120,11,3,10513,4,7,3,4,3,1
5.13812E+17,5138,120,11,4,10513,4,7,4,4,4,1
5.13812E+17,5138,120,11,5,10513,4,7,5,4,3,1
5.13812E+17,5138,120,11,6,10513,4,7,1,4,3,2
5.13812E+17,5138,120,11,7,10513,4,7,1,4,3,1
5.13812E+17,5138,120,11,8,10513,4,7,8,4,3,1
5.13812E+17,5138,121,11,1,10513,4,7,1,4,3,1
5.18651E+15,5186,5,11,1,21801,2,2,1,4,10,1
5.18651E+15,5186,5,11,2,21801,2,2,2,4,10,2
5.18616E+16,5186,16,11,1,21801,2,2,1,4,10,1
5.18616E+16,5186,16,11,2,21801,2,2,2,4,10,2
5.18628E+16,5186,28,11,1,21801,2,2,1,4,6,1
5.18628E+16,5186,28,11,2,21801,2,2,2,4,6,2
5.18628E+16,5186,28,11,3,21801,2,2,3,4,5,1
5.18628E+16,5186,28,11,4,21801,2,2,4,4,5,2
5.18628E+16,5186,28,11,5,21801,2,2,5,4,6,2
5.18638E+16,5186,38,11,1,21801,2,2,1,4,8,1
5.18638E+16,5186,38,11,2,21801,2,2,2,4,8,2
5.18638E+16,5186,38,11,3,21801,2,2,3,4,10,1
5.18638E+16,5186,38,11,4,21801,2,2,4,4,9,2
5.18638E+16,5186,38,11,5,21801,2,2,5,4,5,2
5.18638E+16,5186,38,11,6,21801,2,2,4,4,2,2
5.1865E+16,5186,50,11,1,21801,2,2,1,4,4,1
5.1865E+16,5186,50,11,2,21801,2,2,2,4,10,2
5.1865E+16,5186,50,11,3,21801,2,2,3,4,5,2
5.18662E+16,5186,62,12,1,21801,2,2,1,4,8,2
5.18662E+16,5186,62,12,2,21801,2,2,2,4,10,1
5.18662E+16,5186,62,22,1,21801,2,2,1,4,6,2
5.18662E+16,5186,62,22,2,21801,2,2,2,4,8,1
5.18673E+16,5186,73,11,1,21801,2,2,1,4,6,2
5.18673E+16,5186,73,11,2,21801,2,2,2,4,6,2
5.18673E+16,5186,73,11,3,21801,2,2,3,4,9,2
5.18673E+16,5186,73,11,4,21801,2,2,4,4,6,1
5.18673E+16,5186,73,11,5,21801,2,2,2,4,2,1
5.18673E+16,5186,73,11,6,21801,2,2,6,4,6,2
5.18695E+16,5186,95,11,1,21801,2,2,1,4,6,2
5.21211E+16,5212,11,11,1,21809,2,2,1,1,1,1
5.21249E+16,5212,49,11,1,21809,2,2,1,4,6,1
5.21249E+16,5212,49,11,2,21809,2,2,2,4,4,2
5.21249E+16,5212,49,11,3,21809,2,2,3,4,5,1
5.21249E+16,5212,49,11,4,21809,2,2,2,4,1,1
5.21275E+16,5212,75,11,1,21809,2,2,1,4,4,2
5.21275E+16,5212,75,11,2,21809,2,2,2,4,4,2
5.21275E+16,5212,75,11,3,21809,2,2,1,4,3,1
5.2121E+17,5212,101,11,1,21809,2,2,1,4,7,2
5.2121E+17,5212,101,11,2,21809,2,2,2,4,10,1
5.2121E+17,5212,101,11,3,21809,2,2,3,4,5,2
5.21211E+17,5212,113,11,1,21809,2,2,1,4,6,1
5.21211E+17,5212,113,11,2,21809,2,2,2,4,7,2
5.21211E+17,5212,113,11,3,21809,2,2,3,4,9,2
5.21211E+17,5212,113,11,4,21809,2,2,3,4,3,1
5.2351E+16,5235,10,11,1,21501,5,6,1,4,3,1
5.2351E+16,5235,10,11,2,21501,5,6,2,4,4,1
5.23549E+16,5235,49,11,1,21501,5,6,1,4,4,1
5.23549E+16,5235,49,11,2,21501,5,6,2,4,3,2
5.23549E+16,5235,49,11,3,21501,5,6,3,4,4,1
5.23549E+16,5235,49,11,4,21501,5,6,2,4,2,2
5.23549E+16,5235,49,11,5,21501,5,6,2,4,1,1
5.23549E+16,5235,49,11,7,21501,5,6,7,4,5,2
5.23555E+16,5235,55,11,1,21501,5,6,1,4,7,2
5.23555E+16,5235,55,11,2,21501,5,6,1,4,2,2
5.23562E+16,5235,62,11,1,21501,5,6,1,4,4,2
5.23562E+16,5235,62,11,2,21501,5,6,2,4,10,1
5.23571E+16,5235,71,11,1,21501,5,6,1,4,3,2
5.23586E+16,5235,86,11,1,21501,5,6,1,4,5,1
5.23586E+16,5235,86,11,2,21501,5,6,2,4,3,2
5.24411E+16,5244,11,11,1,20105,5,3,1,1,6,1
5.24411E+16,5244,11,11,2,20105,5,3,1,4,4,2
5.24411E+16,5244,11,11,3,20105,5,3,3,4,10,2
5.24425E+16,5244,25,11,1,20105,5,3,1,4,4,1
5.24425E+16,5244,25,11,2,20105,5,3,2,4,3,2
